curve_id,age,volume,ps124,ps126,ps128,ps1210,p34,p36,p38,p310,p44,p46,p48,p410,pbark,pchips,psawdust,pshaving,ptrim
2422003,100.0,211,19974,5476,1471,222,18500,3550,1023,149,4070,601,140,19,5.75,22.1,4.24,2.39,1.73
2422003,110.0,246,22710,7629,2631,621,19874,4719,1771,401,4330,810,249,54,6.91,25.82,5.16,2.91,2.07
2422003,120.0,279,24201,10373,3944,1168,20291,6189,2588,701,4467,1076,368,102,7.96,28.99,5.98,3.39,2.39
2422003,130.0,309,25439,12556,5181,2004,20967,7248,3296,1165,4630,1288,484,175,8.89,31.64,6.7,3.81,2.66
2422003,140.0,336,26494,14382,6313,2879,21591,8108,3890,1653,4756,1464,590,252,9.69,33.88,7.34,4.19,2.9
2422003,150.0,361,27262,15913,7410,3855,21875,8850,4318,2196,4747,1607,691,337,10.38,35.62,7.93,4.51,3.11
2422003,160.0,383,27750,17312,8441,4822,21948,9538,4707,2725,4715,1735,784,421,10.98,37.08,8.45,4.8,3.3
2422003,170.0,403,27612,18771,9488,5885,21580,10275,5168,3280,4693,1865,872,513,11.5,38.28,8.88,5.05,3.47
2422003,180.0,422,27445,20075,10424,6841,21217,10933,5582,3778,4671,1980,949,596,11.96,39.33,9.25,5.27,3.63
2422003,190.0,438,27422,20853,11408,7870,20986,11210,6048,4283,4645,2048,1037,685,12.38,40.26,9.59,5.47,3.76
2422003,200.0,453,27451,21383,12357,8873,20816,11322,6508,4763,4617,2093,1123,772,12.75,41.08,9.9,5.65,3.87
2422003,210.0,467,27472,21804,13218,9788,20658,11383,6928,5198,4588,2129,1202,851,13.07,41.8,10.16,5.8,3.97
2422003,220.0,480,27307,22347,13907,10677,20382,11523,7242,5616,4543,2178,1264,929,13.35,42.35,10.39,5.94,4.06
2422003,230.0,491,26933,23036,14416,11555,19969,11753,7442,6022,4480,2244,1307,1005,13.58,42.73,10.59,6.06,4.15
2422003,240.0,502,26572,23661,14869,12354,19578,11963,7618,6391,4420,2304,1346,1074,13.79,43.05,10.76,6.16,4.22
2422003,250.0,512,26212,24224,15264,13075,19199,12150,7768,6723,4361,2359,1380,1137,13.96,43.31,10.91,6.25,4.29
2422003,260.0,521,25880,24745,15630,13742,18849,12324,7907,7030,4306,2409,1411,1195,14.13,43.54,11.04,6.34,4.35
2422003,270.0,529,25775,24946,16057,14241,18654,12338,8150,7229,4285,2424,1452,1238,14.27,43.78,11.17,6.41,4.4
2422003,280.0,537,25696,25106,16463,14693,18486,12338,8387,7406,4268,2434,1491,1278,14.4,44.0,11.28,6.47,4.44
2422003,290.0,544,25623,25255,16840,15114,18329,12338,8607,7571,4253,2445,1527,1314,14.52,44.2,11.38,6.53,4.48
2422003,300.0,544,25623,25255,16840,15114,18329,12338,8607,7571,4253,2445,1527,1314,14.52,44.2,11.38,6.53,4.48
2422003,310.0,544,25623,25255,16840,15114,18329,12338,8607,7571,4253,2445,1527,1314,14.52,44.2,11.38,6.53,4.48
2422003,320.0,544,25623,25255,16840,15114,18329,12338,8607,7571,4253,2445,1527,1314,14.52,44.2,11.38,6.53,4.48
2422003,330.0,544,25623,25255,16840,15114,18329,12338,8607,7571,4253,2445,1527,1314,14.52,44.2,11.38,6.53,4.48
